Country,Total Cases,Total Deaths,Continent
Liechtenstein,282,1,Europe
Monaco,281,2,Europe
Cayman Islands,236,1,North America
Barbados,224,7,North America
Bermuda,188,9,North America
Seychelles,151,0,Africa
Caribbean Netherlands,150,3,North America
Brunei,148,3,Asia
Antigua and Barbuda,122,3,North America
Saint Barthelemy,77,0,North America
British Virgin Islands,71,1,North America
St. Vincent & Grenadines,68,0,North America
Macao,46,0,Asia
Saint Lucia,42,0,North America
Fiji,33,2,Australia/Oceania
Dominica,33,0,North America
Timor-Leste,29,0,Asia
New Caledonia,27,0,Australia/Oceania
Holy See,27,0,Europe
Grenada,27,0,North America
Laos,24,0,Asia
Saint Kitts & Nevis,19,0,North America
Greenland,17,0,North America
Saint Pierre & Miquelon,16,0,North America
Montserrat,13,1,North America
Falkland Islands,13,0,South America
Western Sahara,10,1,Africa
MS Zaandam,9,2,
Anguilla,3,0,North America
Solomon Islands,3,0,Australia/Oceania
Wallis & Futuna,1,0,Australia/Oceania
